#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91943  0.006786  0.001324 -0.000048     5.127
   0.02377  0.97722  0.00680  0.97232  0.003127  0.000934  0.000100     3.349
   0.04741  0.95444  0.01310  1.03204  0.003171  0.000651 -0.000106     4.868
   0.07099  0.93166  0.01920  1.03576  0.002467  0.000637 -0.000009     3.871
   0.09443  0.90888  0.02470  1.04019  0.002349  0.000622  0.000013     3.779
   0.11783  0.88610  0.03007  1.04561  0.002084  0.000603  0.000120     3.456
   0.14117  0.86333  0.03520  1.05084  0.001955  0.000585  0.000177     3.340
   0.16447  0.84055  0.04009  1.05461  0.002030  0.000573  0.000091     3.545
   0.18782  0.81777  0.04520  1.06432  0.001620  0.000543  0.000435     2.981
   0.21110  0.79499  0.05000  1.06978  0.001518  0.000525  0.000532     2.892
   0.23435  0.77221  0.05467  1.08550  0.001193  0.000482  0.001148     2.474
   0.25745  0.74943  0.05850  1.06920  0.001636  0.000512  0.000297     3.195
   0.28064  0.72665  0.06287  1.08938  0.001153  0.000461  0.001158     2.501
   0.30371  0.70387  0.06651  1.07624  0.001452  0.000481  0.000459     3.022
   0.32684  0.68109  0.07050  1.09639  0.001058  0.000432  0.001344     2.448
   0.34986  0.65831  0.07380  1.08265  0.001269  0.000448  0.000701     2.833
   0.37290  0.63554  0.07730  1.10005  0.000979  0.000406  0.001515     2.409
   0.39586  0.61276  0.08018  1.08554  0.001145  0.000420  0.000892     2.729
   0.41884  0.58998  0.08320  1.10044  0.000912  0.000383  0.001670     2.383
   0.44175  0.56720  0.08565  1.08793  0.000994  0.000388  0.001262     2.558
   0.46465  0.54442  0.08800  1.08743  0.000967  0.000377  0.001286     2.565
   0.48754  0.52164  0.09021  1.09039  0.000886  0.000359  0.001561     2.469
   0.51039  0.49886  0.09203  1.08030  0.000987  0.000362  0.001027     2.731
   0.53324  0.47608  0.09390  1.08539  0.000928  0.000343  0.001138     2.703
   0.55609  0.45330  0.09567  1.10339  0.000689  0.000303  0.002458     2.275
   0.57889  0.43052  0.09658  1.07861  0.000794  0.000314  0.001618     2.528
   0.60169  0.40774  0.09740  1.08696  0.000630  0.000283  0.002770     2.225
   0.62446  0.38497  0.09749  1.05677  0.000720  0.000295  0.001922     2.438
   0.64724  0.36219  0.09749  1.04810  0.000721  0.000287  0.001759     2.513
   0.67002  0.33941  0.09740  1.04716  0.000645  0.000268  0.002193     2.408
   0.69280  0.31663  0.09690  1.03772  0.000586  0.000253  0.002606     2.319
   0.71560  0.29385  0.09590  1.01512  0.000634  0.000253  0.001950     2.507
   0.73841  0.27107  0.09476  1.01360  0.000509  0.000227  0.003129     2.249
   0.76127  0.24829  0.09294  0.97912  0.000611  0.000234  0.001746     2.608
   0.78412  0.22551  0.09112  0.98176  0.000498  0.000206  0.002623     2.422
   0.80704  0.20273  0.08860  0.96163  0.000430  0.000187  0.003355     2.298
   0.83007  0.17995  0.08520  0.92594  0.000451  0.000180  0.002510     2.504
   0.85321  0.15718  0.08109  0.89639  0.000321  0.000152  0.004950     2.110
   0.87663  0.13440  0.07563  0.80843  0.000442  0.000170  0.002007     2.600
   0.90006  0.11162  0.07016  0.78853  0.000301  0.000133  0.004025     2.272
   0.92398  0.08884  0.06287  0.67451  0.000281  0.000129  0.004007     2.183
   0.94819  0.06606  0.05467  0.57543  0.000284  0.000113  0.002445     2.514
   0.97308  0.04328  0.04465  0.40668  0.000166  0.000077  0.004222     2.144
   0.98370  0.03417  0.03918  0.26190  0.000203  0.000087  0.001897     2.321
   0.99433  0.02506  0.03371  0.12933  0.000144  0.000065  0.001432     2.230
   1.00600  0.01595  0.02642 -0.10636  0.000144  0.000065  0.001178     2.230
   1.01889  0.00683  0.01731 -0.56440  0.000093  0.000042  0.009943     2.203
   1.02748  0.00228  0.01002 -1.03666  0.000086  0.000039  0.019186     2.231
   1.03776  0.00000  0.00000 -2.26168  0.000051  0.000024  0.076271     2.145
   1.04368  0.00228 -0.00547 -2.25974  0.000482  0.000035 -0.003787    13.909
   1.05152  0.00683 -0.01185 -2.40274  0.000052  0.000027  0.096344     1.903
   1.06185  0.01595 -0.01670 -2.30017  0.002007  0.000098 -0.001164    20.420
   1.07155  0.02506 -0.02005 -2.12014  0.002794  0.000362 -0.000368     7.708
   1.08106  0.03417 -0.02278 -1.95635  0.002998  0.000691 -0.000138     4.342
   1.09032  0.04328 -0.02440 -1.84784  0.004189  0.000989 -0.000079     4.238
   1.11352  0.06606 -0.02880 -1.68121  0.004277  0.001650  0.001095     2.591
   1.13651  0.08884 -0.03189 -1.57890  0.004862  0.002184  0.001769     2.226
   1.15945  0.11162 -0.03462 -1.53064  0.004805  0.002490  0.002719     1.930
   1.18228  0.13440 -0.03620 -1.46982  0.005503  0.002931  0.002656     1.877
   1.20509  0.15718 -0.03736 -1.42494  0.006081  0.003319  0.002632     1.832
   1.22789  0.17995 -0.03840 -1.39384  0.006446  0.003626  0.002719     1.778
