#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.84228  0.003316  0.001818  0.001301     1.824
   0.02377  0.97722  0.00680  0.93828  0.001839  0.001197  0.002904     1.536
   0.04741  0.95444  0.01310  0.96779  0.001596  0.001035  0.003169     1.541
   0.07099  0.93166  0.01920  1.00299  0.001365  0.000875  0.003440     1.561
   0.09443  0.90888  0.02470  1.00707  0.001456  0.000828  0.002529     1.760
   0.11783  0.88610  0.03007  1.02545  0.001645  0.000750  0.001303     2.194
   0.14117  0.86333  0.03520  1.05712  0.002118  0.000643  0.000186     3.294
   0.16447  0.84055  0.04009  1.06653  0.002447  0.000611 -0.000036     4.005
   0.18782  0.81777  0.04520  1.07232  0.002039  0.000592  0.000132     3.445
   0.21110  0.79499  0.05000  1.07790  0.001897  0.000574  0.000206     3.305
   0.23435  0.77221  0.05467  1.09045  0.001483  0.000538  0.000668     2.759
   0.25745  0.74943  0.05850  1.08439  0.001989  0.000550  0.000070     3.617
   0.28064  0.72665  0.06287  1.09947  0.001393  0.000509  0.000736     2.738
   0.30371  0.70387  0.06651  1.09397  0.001716  0.000517  0.000223     3.317
   0.32684  0.68109  0.07050  1.11174  0.001233  0.000472  0.000979     2.611
   0.34986  0.65831  0.07380  1.10394  0.001457  0.000482  0.000469     3.023
   0.37290  0.63554  0.07730  1.12123  0.001113  0.000440  0.001200     2.528
   0.39586  0.61276  0.08018  1.11155  0.001290  0.000450  0.000674     2.868
   0.41884  0.58998  0.08320  1.12739  0.001022  0.000412  0.001385     2.479
   0.44175  0.56720  0.08565  1.11881  0.001111  0.000416  0.001016     2.673
   0.46465  0.54442  0.08800  1.12100  0.001078  0.000403  0.001044     2.677
   0.48754  0.52164  0.09021  1.12656  0.000985  0.000383  0.001298     2.571
   0.51039  0.49886  0.09203  1.12034  0.001094  0.000384  0.000820     2.851
   0.53324  0.47608  0.09390  1.12787  0.001011  0.000363  0.000982     2.782
   0.55609  0.45330  0.09567  1.14872  0.000743  0.000321  0.002288     2.314
   0.57889  0.43052  0.09658  1.12745  0.000852  0.000331  0.001502     2.571
   0.60169  0.40774  0.09740  1.13912  0.000675  0.000299  0.002627     2.259
   0.62446  0.38497  0.09749  1.11244  0.000776  0.000311  0.001767     2.495
   0.64724  0.36219  0.09749  1.10726  0.000776  0.000302  0.001621     2.570
   0.67002  0.33941  0.09740  1.11029  0.000688  0.000281  0.002093     2.447
   0.69280  0.31663  0.09690  1.10517  0.000626  0.000265  0.002502     2.359
   0.71560  0.29385  0.09590  1.08677  0.000675  0.000265  0.001870     2.551
   0.73841  0.27107  0.09476  1.09047  0.000544  0.000237  0.003036     2.290
   0.76127  0.24829  0.09294  1.06117  0.000657  0.000244  0.001593     2.690
   0.78412  0.22551  0.09112  1.07052  0.000527  0.000214  0.002605     2.458
   0.80704  0.20273  0.08860  1.05783  0.000456  0.000195  0.003363     2.337
   0.83007  0.17995  0.08520  1.02903  0.000470  0.000187  0.002629     2.520
   0.85321  0.15718  0.08109  1.00901  0.000335  0.000158  0.005300     2.120
   0.87663  0.13440  0.07563  0.92703  0.000479  0.000177  0.001882     2.702
   0.90006  0.11162  0.07016  0.92345  0.000310  0.000137  0.004632     2.261
   0.92398  0.08884  0.06287  0.81918  0.000295  0.000134  0.004528     2.208
   0.94819  0.06606  0.05467  0.74140  0.000307  0.000118  0.002660     2.597
   0.97308  0.04328  0.04465  0.61081  0.000170  0.000080  0.006365     2.119
   0.98370  0.03417  0.03918  0.46622  0.000218  0.000094  0.003114     2.330
   0.99433  0.02506  0.03371  0.37673  0.000166  0.000072  0.003402     2.307
   1.00600  0.01595  0.02642  0.15508  0.000118  0.000053  0.002139     2.230
   1.01889  0.00683  0.01731 -0.23672  0.000118  0.000053  0.003162     2.230
   1.02748  0.00228  0.01002 -0.66520  0.000082  0.000037  0.013465     2.183
   1.03776  0.00000  0.00000 -1.83417  0.000053  0.000024  0.056471     2.199
   1.04368  0.00228 -0.00547 -1.82272  0.000170  0.000047  0.001578     3.583
   1.05152  0.00683 -0.01185 -2.30916  0.000062  0.000029  0.063095     2.149
   1.06185  0.01595 -0.01670 -2.23158  0.000081  0.000036  0.056295     2.221
   1.07155  0.02506 -0.02005 -2.21205  0.000081  0.000039  0.051570     2.098
   1.08106  0.03417 -0.02278 -2.21712  0.000091  0.000042  0.047932     2.184
   1.09032  0.04328 -0.02440 -2.17776  0.000097  0.000045  0.045042     2.155
   1.11352  0.06606 -0.02880 -2.17721  0.000108  0.000050  0.039608     2.145
   1.13651  0.08884 -0.03189 -2.16197  0.000122  0.000056  0.035791     2.167
   1.15945  0.11162 -0.03462 -2.16336  0.000130  0.000061  0.032905     2.143
   1.18228  0.13440 -0.03620 -2.15273  0.000143  0.000066  0.030631     2.168
   1.20509  0.15718 -0.03736 -2.14588  0.000151  0.000070  0.028773     2.147
   1.22789  0.17995 -0.03840 -2.14350  0.000160  0.000074  0.027217     2.159
   1.25068  0.20273 -0.03918 -2.14252  0.000168  0.000078  0.025890     2.152
   1.27346  0.22551 -0.03940 -2.13553  0.000177  0.000082  0.024740     2.161
   1.29624  0.24829 -0.03960 -2.13398  0.000183  0.000085  0.023730     2.151
   1.31902  0.27107 -0.03960 -2.13097  0.000191  0.000089  0.022836     2.158
   1.34180  0.29385 -0.03950 -2.12888  0.000198  0.000092  0.022035     2.154
   1.36458  0.31663 -0.03930 -2.12783  0.000205  0.000095  0.021313     2.155
   1.38737  0.33941 -0.03890 -2.12616  0.000211  0.000098  0.020657     2.156
   1.41016  0.36219 -0.03827 -2.12448  0.000218  0.000101  0.020059     2.156
   1.43295  0.38497 -0.03736 -2.12045  0.000225  0.000104  0.019509     2.158
   1.45574  0.40774 -0.03645 -2.11842  0.000230  0.000107  0.019002     2.154
   1.47854  0.43052 -0.03554 -2.11696  0.000236  0.000110  0.018533     2.155
   1.50134  0.45330 -0.03462 -2.11554  0.000242  0.000112  0.018097     2.155
   1.52414  0.47608 -0.03371 -2.11633  0.000247  0.000115  0.017690     2.153
   1.54695  0.49886 -0.03250 -2.11385  0.000253  0.000117  0.017309     2.159
   1.56977  0.52164 -0.03120 -2.11125  0.000259  0.000120  0.016952     2.157
   1.59258  0.54442 -0.03000 -2.11320  0.000262  0.000122  0.016616     2.150
   1.61541  0.56720 -0.02840 -2.10910  0.000270  0.000125  0.016299     2.162
   1.63824  0.58998 -0.02690 -2.11021  0.000273  0.000127  0.016000     2.151
   1.66109  0.61276 -0.02510 -2.10955  0.000279  0.000129  0.015716     2.156
   1.68398  0.63554 -0.02290 -2.10646  0.000285  0.000132  0.015446     2.159
   1.70688  0.65831 -0.02050 -2.10624  0.000288  0.000134  0.015190     2.154
   1.72985  0.68109 -0.01750 -2.10035  0.000296  0.000137  0.014945     2.164
   1.75284  0.70387 -0.01440 -2.09806  0.000299  0.000139  0.014712     2.155
   1.77589  0.72665 -0.01093 -2.09292  0.000306  0.000142  0.014488     2.161
