#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01530  0.00084  0.01509  3.29250  0.000085  0.000035  0.051313     2.429
   1.01726  0.00033  0.01320  3.23962  0.000075  0.000032  0.061465     2.349
   1.01914  0.00006  0.01133  3.14203  0.000070  0.000030  0.067619     2.301
   1.02097  0.00001  0.00951  3.00983  0.000066  0.000029  0.070530     2.268
   1.02283  0.00017  0.00766  2.84232  0.000063  0.000028  0.071100     2.238
   1.02476  0.00058  0.00577  2.63900  0.000062  0.000028  0.068555     2.214
   1.02679  0.00123  0.00385  2.40777  0.000063  0.000029  0.063434     2.191
   1.02891  0.00213  0.00193  2.16163  0.000065  0.000030  0.055222     2.185
   1.03114  0.00330  0.00002  1.91729  0.000068  0.000031  0.047294     2.173
   1.03351  0.00472 -0.00187  1.67973  0.000073  0.000034  0.038785     2.173
   1.03604  0.00640 -0.00376  1.45837  0.000078  0.000036  0.031459     2.170
   1.03875  0.00835 -0.00563  1.25381  0.000085  0.000039  0.024856     2.175
   1.04166  0.01059 -0.00751  1.06753  0.000092  0.000042  0.019544     2.175
   1.04483  0.01314 -0.00939  0.89683  0.000100  0.000046  0.015012     2.181
   1.04830  0.01603 -0.01129  0.74170  0.000109  0.000050  0.011351     2.187
   1.05212  0.01932 -0.01323  0.59937  0.000118  0.000054  0.008411     2.190
   1.05635  0.02307 -0.01521  0.46870  0.000129  0.000059  0.005962     2.202
   1.06109  0.02735 -0.01724  0.34737  0.000140  0.000064  0.004087     2.198
   1.06643  0.03226 -0.01935  0.23535  0.000154  0.000069  0.002460     2.224
   1.07250  0.03791 -0.02154  0.13008  0.000164  0.000074  0.001288     2.213
   1.07941  0.04444 -0.02381  0.03253  0.000191  0.000086  0.000272     2.230
   1.08731  0.05198 -0.02616 -0.05870  0.000191  0.000086  0.000492     2.230
   1.09629  0.06063 -0.02858 -0.14365  0.000221  0.000098  0.001011     2.260
   1.10642  0.07047 -0.03102 -0.22117  0.000236  0.000106  0.001495     2.234
   1.11768  0.08146 -0.03344 -0.29204  0.000261  0.000115  0.001725     2.272
   1.12994  0.09350 -0.03578 -0.35499  0.000280  0.000124  0.001970     2.260
   1.14306  0.10643 -0.03799 -0.41126  0.000305  0.000134  0.002066     2.278
   1.15686  0.12008 -0.04004 -0.46042  0.000327  0.000143  0.002147     2.281
   1.17118  0.13428 -0.04190 -0.50373  0.000350  0.000153  0.002178     2.289
   1.18590  0.14890 -0.04356 -0.54162  0.000374  0.000163  0.002182     2.296
   1.20092  0.16385 -0.04503 -0.57509  0.000396  0.000172  0.002175     2.301
   1.21619  0.17906 -0.04632 -0.60471  0.000418  0.000181  0.002152     2.307
   1.23164  0.19448 -0.04742 -0.63111  0.000440  0.000190  0.002125     2.312
   1.24726  0.21006 -0.04836 -0.65458  0.000463  0.000199  0.002085     2.319
   1.26301  0.22580 -0.04914 -0.67576  0.000484  0.000208  0.002051     2.322
   1.27888  0.24165 -0.04977 -0.69481  0.000505  0.000217  0.002008     2.328
   1.29484  0.25761 -0.05025 -0.71214  0.000526  0.000225  0.001970     2.332
   1.31090  0.27366 -0.05061 -0.72789  0.000546  0.000234  0.001929     2.336
   1.32704  0.28980 -0.05083 -0.74227  0.000567  0.000242  0.001888     2.341
   1.34324  0.30600 -0.05095 -0.75542  0.000587  0.000250  0.001847     2.345
   1.35952  0.32228 -0.05095 -0.76765  0.000606  0.000258  0.001814     2.348
   1.37585  0.33861 -0.05084 -0.77884  0.000626  0.000266  0.001773     2.352
   1.39223  0.35499 -0.05064 -0.78910  0.000646  0.000274  0.001733     2.357
   1.40867  0.37142 -0.05034 -0.79892  0.000664  0.000282  0.001708     2.357
   1.42515  0.38790 -0.04996 -0.80793  0.000683  0.000289  0.001672     2.361
   1.44167  0.40442 -0.04950 -0.81624  0.000703  0.000297  0.001635     2.366
   1.45823  0.42097 -0.04896 -0.82425  0.000720  0.000304  0.001611     2.367
   1.47483  0.43756 -0.04834 -0.83159  0.000738  0.000311  0.001577     2.371
   1.49146  0.45417 -0.04765 -0.83877  0.000755  0.000318  0.001558     2.370
   1.50813  0.47082 -0.04690 -0.84540  0.000772  0.000325  0.001529     2.374
   1.52482  0.48749 -0.04609 -0.85157  0.000790  0.000332  0.001499     2.378
   1.54153  0.50418 -0.04522 -0.85773  0.000805  0.000339  0.001484     2.376
   1.55828  0.52090 -0.04429 -0.86347  0.000822  0.000346  0.001461     2.378
   1.57504  0.53764 -0.04331 -0.86898  0.000838  0.000352  0.001440     2.380
   1.59183  0.55439 -0.04227 -0.87425  0.000853  0.000358  0.001421     2.381
   1.60863  0.57116 -0.04119 -0.87946  0.000868  0.000365  0.001407     2.380
   1.62545  0.58794 -0.04007 -0.88440  0.000882  0.000371  0.001390     2.381
   1.64229  0.60474 -0.03890 -0.88930  0.000896  0.000376  0.001378     2.380
   1.65914  0.62155 -0.03769 -0.89392  0.000910  0.000382  0.001361     2.381
   1.67600  0.63837 -0.03644 -0.89852  0.000923  0.000388  0.001350     2.380
   1.69288  0.65519 -0.03515 -0.90313  0.000935  0.000393  0.001344     2.378
   1.70976  0.67202 -0.03382 -0.90742  0.000949  0.000399  0.001329     2.379
   1.72666  0.68886 -0.03246 -0.91186  0.000959  0.000404  0.001324     2.376
   1.74356  0.70571 -0.03106 -0.91619  0.000970  0.000409  0.001318     2.375
   1.76046  0.72255 -0.02963 -0.92053  0.000980  0.000413  0.001314     2.372
   1.77738  0.73940 -0.02817 -0.92483  0.000990  0.000418  0.001310     2.370
   1.79429  0.75625 -0.02667 -0.92903  0.001000  0.000422  0.001304     2.368
   1.81121  0.77309 -0.02514 -0.93338  0.001008  0.000426  0.001305     2.364
   1.82812  0.78994 -0.02358 -0.93770  0.001016  0.000430  0.001305     2.361
   1.84504  0.80678 -0.02199 -0.94201  0.001024  0.000434  0.001305     2.358
   1.86195  0.82361 -0.02036 -0.94650  0.001029  0.000438  0.001312     2.352
   1.87886  0.84044 -0.01871 -0.95106  0.001034  0.000441  0.001319     2.347
   1.89575  0.85725 -0.01702 -0.95566  0.001039  0.000444  0.001325     2.342
   1.91263  0.87403 -0.01530 -0.96054  0.001041  0.000446  0.001340     2.334
   1.92946  0.89077 -0.01355 -0.96542  0.001044  0.000449  0.001351     2.327
   1.94620  0.90742 -0.01178 -0.97076  0.001043  0.000450  0.001374     2.316
   1.96277  0.92390 -0.01000 -0.97632  0.001040  0.000451  0.001400     2.305
   1.97900  0.94003 -0.00821 -0.98234  0.001034  0.000451  0.001438     2.291
   1.99458  0.95551 -0.00647 -0.98893  0.001022  0.000450  0.001489     2.271
   2.00906  0.96990 -0.00481 -0.99584  0.001008  0.000448  0.001550     2.251
   2.02198  0.98273 -0.00331 -1.00410  0.000981  0.000443  0.001658     2.216
   2.03304  0.99371 -0.00201 -1.01167  0.000959  0.000438  0.001747     2.190
   2.03937  1.00000 -0.00126 -1.03244  0.000833  0.000409  0.002333     2.037
   2.03937  1.00010 -0.00000  1.03244  0.078621  0.012537  0.000000     6.271
   2.04571  1.00643 -0.00009  1.03069  0.078111  0.012713  0.000000     6.144
   2.05313  1.01386 -0.00009  1.02805  0.077346  0.012978  0.000000     5.960
   2.06184  1.02257 -0.00001  1.02485  0.076351  0.013300  0.000000     5.741
   2.07205  1.03277  0.00016  1.02093  0.075082  0.013694  0.000000     5.483
   2.08401  1.04473  0.00047  1.01610  0.073482  0.014178  0.000000     5.183
   2.09804  1.05876  0.00093  1.01007  0.071478  0.014782  0.000000     4.835
   2.11449  1.07519  0.00160  1.00241  0.068987  0.015548  0.000000     4.437
   2.13377  1.09445  0.00254  0.99234  0.065917  0.016555  0.000000     3.982
   2.15638  1.11702  0.00381  0.97796  0.062224  0.017996  0.000000     3.458
   2.18289  1.14347  0.00553  0.95933  0.057854  0.019883  0.000000     2.910
   2.21396  1.17446  0.00781  0.94780  0.052739  0.021047  0.000000     2.506
   2.25039  1.21077  0.01079  0.94070  0.047326  0.021745  0.000000     2.176
   2.29311  1.25331  0.01466  0.93832  0.042002  0.021969  0.000000     1.912
   2.34318  1.30313  0.01966  0.94020  0.037133  0.021803  0.000000     1.703
   2.40189  1.36149  0.02605  0.94512  0.032966  0.021394  0.000000     1.541
   2.47072  1.42984  0.03418  0.95161  0.029577  0.020891  0.000000     1.416
   2.55141  1.50988  0.04447  0.95843  0.026906  0.020395  0.000000     1.319
   2.64602  1.60359  0.05741  0.96483  0.024832  0.019954  0.000000     1.245
   2.75693  1.71332  0.07361  0.97052  0.023229  0.019580  0.000000     1.186
   2.88697  1.84178  0.09377  0.97541  0.021993  0.019271  0.000000     1.141
   3.03942  1.99218  0.11875  0.98203  0.020866  0.018869  0.000000     1.106
