#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89196  0.005024  0.001426  0.000034     3.523
   0.02377  0.97722  0.00680  0.96385  0.002241  0.000970  0.000877     2.311
   0.04741  0.95444  0.01310  1.01140  0.002447  0.000767  0.000189     3.192
   0.07099  0.93166  0.01920  1.04380  0.002312  0.000646  0.000068     3.581
   0.09443  0.90888  0.02470  1.04752  0.002391  0.000632  0.000012     3.781
   0.11783  0.88610  0.03007  1.05231  0.002212  0.000616  0.000068     3.592
   0.14117  0.86333  0.03520  1.05710  0.002110  0.000600  0.000097     3.519
   0.16447  0.84055  0.04009  1.06128  0.002188  0.000586  0.000026     3.735
   0.18782  0.81777  0.04520  1.06967  0.001742  0.000560  0.000326     3.113
   0.21110  0.79499  0.05000  1.07559  0.001619  0.000540  0.000429     2.996
   0.23435  0.77221  0.05467  1.09086  0.001268  0.000499  0.001009     2.542
   0.25745  0.74943  0.05850  1.07749  0.001729  0.000524  0.000227     3.299
   0.28064  0.72665  0.06287  1.09653  0.001216  0.000475  0.001038     2.559
   0.30371  0.70387  0.06651  1.08555  0.001523  0.000492  0.000389     3.096
   0.32684  0.68109  0.07050  1.10530  0.001106  0.000444  0.001240     2.490
   0.34986  0.65831  0.07380  1.09324  0.001322  0.000459  0.000633     2.883
   0.37290  0.63554  0.07730  1.11080  0.001017  0.000417  0.001425     2.442
   0.39586  0.61276  0.08018  1.09772  0.001187  0.000429  0.000829     2.767
   0.41884  0.58998  0.08320  1.11304  0.000944  0.000392  0.001587     2.410
   0.44175  0.56720  0.08565  1.10177  0.001028  0.000397  0.001190     2.590
   0.46465  0.54442  0.08800  1.10213  0.001000  0.000385  0.001214     2.598
   0.48754  0.52164  0.09021  1.10602  0.000916  0.000366  0.001482     2.500
   0.51039  0.49886  0.09203  1.09716  0.001021  0.000369  0.000962     2.768
   0.53324  0.47608  0.09390  1.10313  0.000954  0.000350  0.001092     2.727
   0.55609  0.45330  0.09567  1.12225  0.000706  0.000309  0.002414     2.287
   0.57889  0.43052  0.09658  1.09853  0.000813  0.000320  0.001587     2.541
   0.60169  0.40774  0.09740  1.10809  0.000645  0.000288  0.002734     2.236
   0.62446  0.38497  0.09749  1.07907  0.000738  0.000300  0.001880     2.456
   0.64724  0.36219  0.09749  1.07156  0.000739  0.000292  0.001718     2.532
   0.67002  0.33941  0.09740  1.07209  0.000659  0.000272  0.002170     2.420
   0.69280  0.31663  0.09690  1.06417  0.000600  0.000257  0.002581     2.332
   0.71560  0.29385  0.09590  1.04304  0.000647  0.000257  0.001935     2.521
   0.73841  0.27107  0.09476  1.04337  0.000521  0.000230  0.003110     2.262
   0.76127  0.24829  0.09294  1.01072  0.000626  0.000238  0.001702     2.635
   0.78412  0.22551  0.09112  1.01583  0.000508  0.000209  0.002630     2.434
   0.80704  0.20273  0.08860  0.99842  0.000439  0.000190  0.003371     2.312
   0.83007  0.17995  0.08520  0.96525  0.000458  0.000182  0.002562     2.510
   0.85321  0.15718  0.08109  0.93919  0.000326  0.000154  0.005103     2.113
   0.87663  0.13440  0.07563  0.85328  0.000455  0.000173  0.001974     2.636
   0.90006  0.11162  0.07016  0.83976  0.000305  0.000134  0.004230     2.273
   0.92398  0.08884  0.06287  0.72900  0.000284  0.000130  0.004287     2.182
   0.94819  0.06606  0.05467  0.63842  0.000297  0.000115  0.002441     2.572
   0.97308  0.04328  0.04465  0.48394  0.000164  0.000078  0.005184     2.119
   0.98370  0.03417  0.03918  0.33963  0.000213  0.000090  0.002236     2.371
   0.99433  0.02506  0.03371  0.22342  0.000147  0.000066  0.002439     2.230
   1.00600  0.01595  0.02642 -0.00561  0.000147  0.000066  0.000061     2.230
   1.01889  0.00683  0.01731 -0.43720  0.000098  0.000044  0.007067     2.243
   1.02748  0.00228  0.01002 -0.88999  0.000086  0.000039  0.017091     2.196
   1.03776  0.00000  0.00000 -2.08449  0.000052  0.000024  0.067613     2.169
   1.04368  0.00228 -0.00547 -2.04469  0.000334  0.000040 -0.003145     8.297
   1.05152  0.00683 -0.01185 -2.27834  0.000048  0.000027  0.106858     1.800
   1.06185  0.01595 -0.01670 -2.22245  0.002057  0.000092 -0.001087    22.416
   1.07155  0.02506 -0.02005 -2.05355  0.002805  0.000355 -0.000362     7.908
   1.08106  0.03417 -0.02278 -1.89325  0.002924  0.000684 -0.000123     4.274
   1.09032  0.04328 -0.02440 -1.78336  0.004010  0.000989 -0.000048     4.054
   1.11352  0.06606 -0.02880 -1.62812  0.003895  0.001597  0.001399     2.439
   1.13651  0.08884 -0.03189 -1.53328  0.004326  0.002072  0.002183     2.088
   1.15945  0.11162 -0.03462 -1.49496  0.004177  0.002304  0.003272     1.813
   1.18228  0.13440 -0.03620 -1.43705  0.004748  0.002694  0.003197     1.762
   1.20509  0.15718 -0.03736 -1.39518  0.005205  0.003029  0.003172     1.719
   1.22789  0.17995 -0.03840 -1.36782  0.005468  0.003279  0.003277     1.668
   1.25068  0.20273 -0.03918 -1.34669  0.005671  0.003491  0.003383     1.624
   1.27346  0.22551 -0.03940 -1.31331  0.006255  0.003846  0.003145     1.626
   1.29624  0.24829 -0.03960 -1.29417  0.006543  0.004077  0.003135     1.605
   1.31902  0.27107 -0.03960 -1.27351  0.006927  0.004342  0.003050     1.595
   1.34180  0.29385 -0.03950 -1.25669  0.007246  0.004577  0.003002     1.583
   1.36458  0.31663 -0.03930 -1.24283  0.007509  0.004784  0.002981     1.570
   1.38737  0.33941 -0.03890 -1.22807  0.007835  0.005015  0.002922     1.562
   1.41016  0.36219 -0.03827 -1.21279  0.008213  0.005266  0.002836     1.560
   1.43295  0.38497 -0.03736 -1.19334  0.008790  0.005601  0.002668     1.570
   1.45574  0.40774 -0.03645 -1.17865  0.009233  0.005875  0.002571     1.571
   1.47854  0.43052 -0.03554 -1.16602  0.009626  0.006127  0.002498     1.571
   1.50134  0.45330 -0.03462 -1.15468  0.009991  0.006366  0.002439     1.569
   1.52414  0.47608 -0.03371 -1.14697  0.010211  0.006541  0.002430     1.561
   1.54695  0.49886 -0.03250 -1.13348  0.010732  0.006844  0.002325     1.568
   1.56977  0.52164 -0.03120 -1.12047  0.011270  0.007153  0.002224     1.576
   1.59258  0.54442 -0.03000 -1.11383  0.011494  0.007327  0.002214     1.569
   1.61541  0.56720 -0.02840 -1.09817  0.012257  0.007728  0.002068     1.586
   1.63824  0.58998 -0.02690 -1.08958  0.012642  0.007969  0.002023     1.586
   1.66109  0.61276 -0.02510 -1.07692  0.013321  0.008330  0.001917     1.599
   1.68398  0.63554 -0.02290 -1.06002  0.014376  0.008839  0.001751     1.626
   1.70688  0.65831 -0.02050 -1.04472  0.015432  0.009337  0.001608     1.653
   1.72985  0.68109 -0.01750 -1.02264  0.017294  0.010118  0.001374     1.709
   1.75284  0.70387 -0.01440 -1.00426  0.019107  0.010842  0.001191     1.762
   1.77589  0.72665 -0.01093 -0.98420  0.021533  0.011719  0.000986     1.837
   1.79895  0.74943 -0.00729 -0.96590  0.024261  0.012615  0.000804     1.923
   1.82203  0.77221 -0.00364 -0.95014  0.027146  0.013476  0.000652     2.014
   1.84509  0.79499  0.00000 -0.93587  0.030412  0.014339  0.000515     2.121
   1.86804  0.81777  0.00273 -0.92664  0.032749  0.014949  0.000440     2.191
   1.89089  0.84055  0.00456 -0.91988  0.034478  0.015423  0.000397     2.236
   1.91369  0.86333  0.00547 -0.91497  0.035579  0.015782  0.000377     2.254
   1.93646  0.88610  0.00547 -0.91206  0.035831  0.016003  0.000385     2.239
   1.95924  0.90888  0.00547 -0.90767  0.036772  0.016339  0.000371     2.251
   1.98203  0.93166  0.00480 -0.90466  0.037103  0.016576  0.000376     2.238
   2.00484  0.95444  0.00364 -0.90156  0.037489  0.016824  0.000380     2.228
   2.02769  0.97722  0.00180 -0.89954  0.037392  0.016989  0.000397     2.201
   2.05054  1.00000  0.00000 -0.89196  0.040009  0.017615  0.000340     2.271
   2.05054  1.00010 -0.00002  0.89196  0.045033  0.019041  0.000000     2.365
   2.07386  1.02306 -0.00404  0.90683  0.035860  0.017766  0.000000     2.018
   2.10142  1.05030 -0.00822  0.91741  0.031383  0.016974  0.000000     1.849
   2.13401  1.08256 -0.01285  0.92857  0.027808  0.016215  0.000000     1.715
   2.17253  1.12073 -0.01812  0.93934  0.024970  0.015545  0.000000     1.606
   2.21809  1.16588 -0.02417  0.94930  0.022693  0.014972  0.000000     1.516
   2.27195  1.21928 -0.03122  0.95813  0.020856  0.014497  0.000000     1.439
   2.33563  1.28242 -0.03947  0.96575  0.019360  0.014112  0.000000     1.372
   2.41092  1.35708 -0.04919  0.97219  0.018132  0.013802  0.000000     1.314
   2.49993  1.44535 -0.06071  0.97757  0.017115  0.013553  0.000000     1.263
   2.60518  1.54970 -0.07439  0.98203  0.016270  0.013355  0.000000     1.218
   2.72962  1.67306 -0.09071  0.98568  0.015569  0.013197  0.000000     1.180
   2.87674  1.81889 -0.11020  0.98864  0.014990  0.013073  0.000000     1.147
   3.05068  1.99126 -0.13351  0.99209  0.014463  0.012931  0.000000     1.119
