#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000      NaN       NaN       NaN       NaN       NaN
   0.02377  0.97722  0.00680      NaN       NaN       NaN       NaN       NaN
   0.04741  0.95444  0.01310      NaN       NaN       NaN       NaN       NaN
   0.07099  0.93166  0.01920      NaN       NaN       NaN       NaN       NaN
   0.09443  0.90888  0.02470      NaN       NaN       NaN       NaN       NaN
   0.11783  0.88610  0.03007      NaN       NaN       NaN       NaN       NaN
   0.14117  0.86333  0.03520      NaN       NaN       NaN       NaN       NaN
   0.16447  0.84055  0.04009      NaN       NaN       NaN       NaN       NaN
   0.18782  0.81777  0.04520      NaN       NaN       NaN       NaN       NaN
   0.21110  0.79499  0.05000      NaN       NaN       NaN       NaN       NaN
   0.23435  0.77221  0.05467      NaN       NaN       NaN       NaN       NaN
   0.25745  0.74943  0.05850      NaN       NaN       NaN       NaN       NaN
   0.28064  0.72665  0.06287      NaN       NaN       NaN       NaN       NaN
   0.30371  0.70387  0.06651      NaN       NaN       NaN       NaN       NaN
   0.32684  0.68109  0.07050      NaN       NaN       NaN       NaN       NaN
   0.34986  0.65831  0.07380      NaN       NaN       NaN       NaN       NaN
   0.37290  0.63554  0.07730      NaN       NaN       NaN       NaN       NaN
   0.39586  0.61276  0.08018      NaN       NaN       NaN       NaN       NaN
   0.41884  0.58998  0.08320      NaN       NaN       NaN       NaN       NaN
   0.44175  0.56720  0.08565      NaN       NaN       NaN       NaN       NaN
   0.46465  0.54442  0.08800      NaN       NaN       NaN       NaN       NaN
   0.48754  0.52164  0.09021      NaN       NaN       NaN       NaN       NaN
   0.51039  0.49886  0.09203      NaN       NaN       NaN       NaN       NaN
   0.53324  0.47608  0.09390      NaN       NaN       NaN       NaN       NaN
   0.55609  0.45330  0.09567      NaN       NaN       NaN       NaN       NaN
   0.57889  0.43052  0.09658      NaN       NaN       NaN       NaN       NaN
   0.60169  0.40774  0.09740      NaN       NaN       NaN       NaN       NaN
   0.62446  0.38497  0.09749      NaN       NaN       NaN       NaN       NaN
   0.64724  0.36219  0.09749      NaN       NaN       NaN       NaN       NaN
   0.67002  0.33941  0.09740      NaN       NaN       NaN       NaN       NaN
   0.69280  0.31663  0.09690      NaN       NaN       NaN       NaN       NaN
   0.71560  0.29385  0.09590      NaN       NaN       NaN       NaN       NaN
   0.73841  0.27107  0.09476      NaN       NaN       NaN       NaN       NaN
   0.76127  0.24829  0.09294      NaN       NaN       NaN       NaN       NaN
   0.78412  0.22551  0.09112      NaN       NaN       NaN       NaN       NaN
   0.80704  0.20273  0.08860      NaN       NaN       NaN       NaN       NaN
   0.83007  0.17995  0.08520      NaN       NaN       NaN       NaN       NaN
   0.85321  0.15718  0.08109      NaN       NaN       NaN       NaN       NaN
   0.87663  0.13440  0.07563      NaN       NaN       NaN       NaN       NaN
   0.90006  0.11162  0.07016      NaN       NaN       NaN       NaN       NaN
   0.92398  0.08884  0.06287      NaN       NaN       NaN       NaN       NaN
   0.94819  0.06606  0.05467      NaN       NaN       NaN       NaN       NaN
   0.97308  0.04328  0.04465      NaN       NaN       NaN       NaN       NaN
   0.98370  0.03417  0.03918      NaN       NaN       NaN       NaN       NaN
