name: NACA 65-410
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 7.500000
CL_eps: 1.094300
CD_eps: 1.155000e-02
AoA_lift: 11.000000
CL_lift: 1.254500
CD_lift: 2.378000e-02
 alpha	CL	CD	Cm
-5.000000	-0.216100	0.006950	-0.074800
-4.500000	-0.159700	0.006710	-0.075500
-4.000000	-0.103600	0.006520	-0.076100
-3.500000	-0.047600	0.006320	-0.076700
-3.000000	0.009400	0.006130	-0.077400
-2.500000	0.066500	0.005860	-0.078100
-2.000000	0.122300	0.005790	-0.078600
-1.500000	0.177300	0.005810	-0.078900
-1.000000	0.232600	0.005900	-0.079300
-0.500000	0.288500	0.005860	-0.079900
0.000000	0.340700	0.006170	-0.080100
0.500000	0.382800	0.007070	-0.079500
1.000000	0.436900	0.007170	-0.079800
1.500000	0.491700	0.007330	-0.080200
2.000000	0.545200	0.007590	-0.080300
2.500000	0.599400	0.007710	-0.080500
3.000000	0.653100	0.007860	-0.080600
3.500000	0.706300	0.008080	-0.080600
4.000000	0.758700	0.008370	-0.080300
4.500000	0.809800	0.008830	-0.079800
5.000000	0.857900	0.009480	-0.078700
5.500000	0.909000	0.009910	-0.078500
7.500000	1.094300	0.011550	-0.073800
8.500000	1.156100	0.013490	-0.065100
9.000000	1.190300	0.014650	-0.061800
9.500000	1.213100	0.015960	-0.056400
10.000000	1.228500	0.017580	-0.049800
10.500000	1.245900	0.019970	-0.044000
11.000000	1.254500	0.023780	-0.037400
11.500000	1.230600	0.030290	-0.027100
