name: NACA 63-215
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 8.000000
CL_eps: 1.035000
CD_eps: 1.150000e-02
AoA_lift: 20.000000
CL_lift: 1.349700
CD_lift: 7.216000e-02
 alpha	CL	CD	Cm
-5.000000	-0.404500	0.007760	-0.031600
-4.500000	-0.346800	0.007510	-0.032300
-4.000000	-0.288900	0.007230	-0.032900
-3.500000	-0.231400	0.006850	-0.033700
-3.000000	-0.174100	0.006360	-0.034500
-2.500000	-0.116000	0.006010	-0.035300
-2.000000	-0.057700	0.005470	-0.036400
-1.500000	0.000700	0.005000	-0.037400
-1.000000	0.059500	0.004880	-0.038200
-0.500000	0.118200	0.004740	-0.039100
0.000000	0.176900	0.004770	-0.039800
0.500000	0.235500	0.004820	-0.040600
1.000000	0.293300	0.005040	-0.041200
1.500000	0.349600	0.005430	-0.041700
2.500000	0.459500	0.006620	-0.042400
3.500000	0.568200	0.007690	-0.042700
4.000000	0.621400	0.008240	-0.042700
4.500000	0.676300	0.008590	-0.042900
5.000000	0.731200	0.008900	-0.043000
5.500000	0.782500	0.009450	-0.042600
6.000000	0.834800	0.009850	-0.042300
6.500000	0.887000	0.010230	-0.042000
7.000000	0.938200	0.010610	-0.041500
7.500000	0.987500	0.011030	-0.040700
8.000000	1.035000	0.011500	-0.039600
8.500000	1.080100	0.012030	-0.038100
9.000000	1.121500	0.012560	-0.036000
9.500000	1.157200	0.013140	-0.032900
10.000000	1.168800	0.013710	-0.025300
10.500000	1.178600	0.014490	-0.018000
11.000000	1.188600	0.015530	-0.011500
11.500000	1.197300	0.016450	-0.004900
12.000000	1.213000	0.017840	-0.000700
12.500000	1.222300	0.019610	0.003900
13.000000	1.234100	0.021530	0.007900
13.500000	1.239800	0.023940	0.011800
14.000000	1.241000	0.026820	0.015500
14.500000	1.246100	0.029680	0.018400
15.000000	1.240600	0.033600	0.021200
15.500000	1.231600	0.038250	0.023200
16.000000	1.252100	0.040740	0.023900
16.500000	1.273800	0.043240	0.024300
17.000000	1.280900	0.047260	0.024400
17.500000	1.300500	0.050150	0.024400
18.000000	1.303200	0.054960	0.023700
18.500000	1.328400	0.057520	0.023200
19.000000	1.344100	0.061120	0.022500
19.500000	1.338500	0.067700	0.020500
20.000000	1.349700	0.072160	0.019100
20.500000	1.337400	0.080240	0.015700
21.000000	1.344800	0.085560	0.013400
21.500000	1.325600	0.095380	0.008300
22.000000	1.328900	0.101820	0.005000
22.500000	1.301000	0.113980	-0.002100
23.000000	1.298300	0.121640	-0.006600
23.500000	1.262900	0.135600	-0.015500
24.000000	1.208800	0.153580	-0.027100
24.500000	1.205800	0.161370	-0.032200
25.000000	1.135800	0.183200	-0.046200
25.500000	1.136700	0.190000	-0.050800
26.000000	1.107800	0.203440	-0.059100
26.500000	1.048500	0.222850	-0.070700
