name: fx84w127
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 5.250000
CL_eps: 0.980700
CD_eps: 6.880000e-03
AoA_lift: 16.250000
CL_lift: 1.470700
CD_lift: 6.072000e-02
 alpha	CL	CD	Cm
-13.750000	-0.294600	0.135120	-0.029300
-13.500000	-0.801400	0.044870	-0.082000
-13.250000	-0.835500	0.036420	-0.089600
-13.000000	-0.828600	0.032860	-0.094500
-12.750000	-0.843400	0.030040	-0.093200
-12.500000	-0.842700	0.029080	-0.090500
-12.000000	-0.827600	0.026500	-0.087400
-11.750000	-0.815200	0.025350	-0.086200
-11.500000	-0.800300	0.024240	-0.085200
-11.250000	-0.784200	0.023170	-0.084300
-11.000000	-0.766000	0.022180	-0.083600
-10.500000	-0.730500	0.019760	-0.081900
-10.250000	-0.713900	0.018270	-0.081000
-10.000000	-0.691200	0.017590	-0.080600
-9.750000	-0.667200	0.017040	-0.080300
-9.500000	-0.643100	0.016510	-0.080000
-9.250000	-0.618500	0.015930	-0.079700
-9.000000	-0.593500	0.015400	-0.079500
-8.750000	-0.568100	0.014990	-0.079300
-8.500000	-0.543000	0.014370	-0.079000
-8.250000	-0.519500	0.013510	-0.078700
-8.000000	-0.493300	0.013170	-0.078500
-7.750000	-0.466400	0.012860	-0.078500
-7.500000	-0.439500	0.012560	-0.078400
-7.250000	-0.412400	0.012310	-0.078400
-7.000000	-0.387200	0.011600	-0.078100
-6.750000	-0.360000	0.011280	-0.078100
-6.500000	-0.332700	0.011040	-0.078100
-6.250000	-0.304900	0.010820	-0.078100
-6.000000	-0.278100	0.010390	-0.078100
-5.750000	-0.250600	0.010150	-0.078100
-5.500000	-0.222700	0.009960	-0.078100
-5.250000	-0.195000	0.009690	-0.078200
-5.000000	-0.167400	0.009440	-0.078200
-4.750000	-0.139200	0.009300	-0.078300
-4.500000	-0.111400	0.009030	-0.078300
-4.250000	-0.083300	0.008870	-0.078400
-4.000000	-0.055200	0.008710	-0.078500
-3.750000	-0.026900	0.008530	-0.078600
-3.500000	0.001200	0.008370	-0.078700
-3.250000	0.029500	0.008250	-0.078800
-3.000000	0.057900	0.008080	-0.079000
-2.750000	0.086100	0.007930	-0.079100
-2.500000	0.114300	0.007780	-0.079300
-2.000000	0.170800	0.007460	-0.079600
-1.750000	0.198800	0.007280	-0.079800
-1.500000	0.226900	0.007040	-0.080000
-1.250000	0.254500	0.006770	-0.080200
-1.000000	0.281700	0.006390	-0.080400
-0.750000	0.308900	0.006020	-0.080500
-0.500000	0.336100	0.005810	-0.080400
-0.250000	0.363900	0.005700	-0.080400
0.000000	0.391700	0.005640	-0.080300
0.250000	0.419500	0.005640	-0.080300
0.500000	0.447500	0.005630	-0.080200
0.750000	0.475400	0.005650	-0.080200
1.000000	0.503000	0.005690	-0.080100
1.500000	0.557900	0.005730	-0.079800
1.750000	0.584700	0.005780	-0.079500
2.000000	0.610900	0.005800	-0.079000
2.250000	0.634900	0.005840	-0.078100
2.500000	0.658800	0.005860	-0.077100
2.750000	0.683800	0.005900	-0.076400
3.000000	0.710600	0.005960	-0.076100
3.250000	0.743300	0.006000	-0.077200
3.750000	0.813200	0.006160	-0.080600
4.000000	0.849000	0.006280	-0.082500
4.250000	0.874100	0.006350	-0.082100
4.500000	0.900000	0.006500	-0.081900
4.750000	0.927500	0.006580	-0.082000
5.000000	0.954100	0.006730	-0.081900
5.250000	0.980700	0.006880	-0.081900
5.500000	1.006600	0.007080	-0.081700
5.750000	1.032300	0.007290	-0.081500
6.000000	1.057900	0.007520	-0.081300
6.250000	1.083100	0.007770	-0.081100
6.500000	1.107600	0.008060	-0.080700
6.750000	1.131500	0.008390	-0.080200
7.000000	1.153800	0.008800	-0.079600
7.250000	1.174900	0.009290	-0.078700
7.500000	1.193000	0.009940	-0.077400
7.750000	1.208400	0.010720	-0.075700
8.000000	1.221500	0.011560	-0.073600
8.250000	1.232800	0.012430	-0.071300
8.500000	1.241100	0.013270	-0.068400
8.750000	1.245800	0.014110	-0.064800
9.000000	1.252500	0.014940	-0.061800
9.250000	1.262000	0.015710	-0.059400
9.500000	1.272200	0.016510	-0.057300
9.750000	1.282400	0.017340	-0.055200
10.000000	1.294900	0.018090	-0.053500
10.250000	1.305400	0.019000	-0.051700
10.500000	1.318300	0.019800	-0.050300
10.750000	1.327800	0.020840	-0.048600
11.000000	1.339700	0.021770	-0.047200
11.250000	1.351500	0.022740	-0.045900
11.500000	1.360500	0.023930	-0.044400
11.750000	1.368800	0.025210	-0.042900
12.000000	1.380300	0.026280	-0.041800
12.250000	1.390500	0.027480	-0.040700
12.500000	1.398500	0.028890	-0.039500
12.750000	1.402100	0.030700	-0.038100
13.000000	1.409200	0.032270	-0.037100
13.250000	1.418800	0.033680	-0.036300
13.500000	1.427700	0.035160	-0.035500
13.750000	1.434900	0.036860	-0.034800
14.000000	1.440200	0.038780	-0.034100
14.250000	1.440800	0.041240	-0.033300
14.500000	1.439200	0.044000	-0.032600
14.750000	1.446700	0.045900	-0.032300
15.000000	1.453100	0.047970	-0.032000
15.250000	1.457100	0.050360	-0.031800
15.500000	1.461100	0.052790	-0.031700
15.750000	1.466300	0.055120	-0.031700
16.000000	1.468600	0.057890	-0.031800
16.250000	1.470700	0.060720	-0.032000
16.500000	1.468700	0.064140	-0.032400
16.750000	1.460300	0.068510	-0.033000
