name: NACA 1408
Re: 1.000000e+05
Ncrit: 9
AoA_eps: 4.000000
CL_eps: 0.579000
CD_eps: 1.308000e-02
AoA_lift: 8.000000
CL_lift: 0.896200
CD_lift: 4.622000e-02
 alpha	CL	CD	Cm
0.000000	0.019700	0.011930	-0.010600
1.000000	0.118400	0.013200	-0.012100
2.000000	0.345900	0.013600	-0.036000
3.000000	0.488700	0.012820	-0.037500
4.000000	0.579000	0.013080	-0.028400
5.000000	0.651600	0.016390	-0.019600
6.000000	0.733900	0.023080	-0.014400
7.000000	0.831100	0.031950	-0.010800
8.000000	0.896200	0.046220	-0.004700
13.000000	0.599000	0.148360	-0.028700
14.000000	0.592700	0.158310	-0.031600
15.000000	0.620300	0.173480	-0.032800
16.000000	0.598700	0.178790	-0.040200
17.000000	0.609100	0.190160	-0.044500
18.000000	0.652400	0.210590	-0.044900
19.000000	0.632700	0.212420	-0.053700
20.000000	0.647200	0.223650	-0.058200
