name: WORTMANN FX 05-188
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 2.000000
CL_eps: 0.728900
CD_eps: 5.850000e-03
AoA_lift: 27.500000
CL_lift: 1.601200
CD_lift: 2.059900e-01
 alpha	CL	CD	Cm
-3.000000	0.150300	0.007230	-0.111000
-2.500000	0.208900	0.007060	-0.112100
-2.000000	0.262800	0.007040	-0.112300
-1.500000	0.320900	0.006930	-0.113300
-1.000000	0.380300	0.006780	-0.114700
-0.500000	0.433300	0.006690	-0.114900
0.000000	0.510200	0.004780	-0.122000
0.500000	0.567900	0.004820	-0.123100
1.000000	0.622400	0.005100	-0.123400
2.000000	0.728900	0.005850	-0.123400
2.500000	0.775700	0.006550	-0.122300
3.500000	0.841600	0.009130	-0.115000
4.000000	0.879600	0.010020	-0.112300
4.500000	0.977500	0.008310	-0.120300
5.000000	0.985400	0.010380	-0.112200
5.500000	1.014300	0.011120	-0.107700
6.000000	1.054500	0.011600	-0.105400
6.500000	1.092300	0.012150	-0.102800
7.000000	1.106900	0.013590	-0.096700
7.500000	1.136600	0.014610	-0.093500
8.000000	1.168800	0.015630	-0.090900
8.500000	1.199700	0.016830	-0.088400
9.000000	1.231900	0.018040	-0.086300
20.000000	1.269700	0.143830	-0.083500
20.500000	1.413200	0.123770	-0.074700
21.000000	1.460800	0.123270	-0.075500
23.500000	1.352300	0.192690	-0.113100
24.000000	1.314300	0.214760	-0.124000
25.000000	1.524900	0.177970	-0.108500
25.500000	1.572600	0.176270	-0.108700
26.500000	1.563200	0.197660	-0.121200
27.000000	1.585100	0.201220	-0.123600
27.500000	1.601200	0.205990	-0.126400
28.000000	1.598300	0.215550	-0.131500
28.500000	1.530000	0.242800	-0.144200
