name: fx84w150
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 6.000000
CL_eps: 1.126200
CD_eps: 7.700000e-03
AoA_lift: 18.000000
CL_lift: 1.487000
CD_lift: 8.338000e-02
 alpha	CL	CD	Cm
-15.750000	-0.711500	0.076610	-0.077200
-15.500000	-0.794400	0.058830	-0.088900
-15.250000	-0.837600	0.047240	-0.097800
-15.000000	-0.834100	0.039280	-0.110100
-14.750000	-0.829900	0.035320	-0.115000
-14.500000	-0.840600	0.032380	-0.115200
-14.250000	-0.845400	0.030280	-0.114600
-14.000000	-0.848900	0.028460	-0.113500
-13.750000	-0.849400	0.027010	-0.111900
-13.500000	-0.850000	0.025650	-0.109900
-13.250000	-0.846300	0.024670	-0.107700
-13.000000	-0.841600	0.023820	-0.105200
-12.750000	-0.832700	0.023020	-0.103200
-12.500000	-0.817700	0.022270	-0.102000
-12.250000	-0.811600	0.020770	-0.100000
-12.000000	-0.797200	0.019810	-0.098700
-11.750000	-0.777900	0.019140	-0.097900
-11.500000	-0.756900	0.018610	-0.097300
-11.250000	-0.735500	0.018100	-0.096600
-11.000000	-0.713200	0.017550	-0.096200
-10.750000	-0.690600	0.017010	-0.095700
-10.500000	-0.666900	0.016610	-0.095200
-10.250000	-0.644200	0.016020	-0.094800
-10.000000	-0.622600	0.015260	-0.094200
-9.750000	-0.597800	0.014890	-0.093900
-9.500000	-0.572900	0.014540	-0.093700
-9.250000	-0.547200	0.014160	-0.093500
-9.000000	-0.521300	0.013830	-0.093400
-8.750000	-0.497000	0.013300	-0.093000
-8.500000	-0.471800	0.012880	-0.092800
-8.250000	-0.445000	0.012600	-0.092800
-8.000000	-0.418000	0.012350	-0.092700
-7.750000	-0.391200	0.012090	-0.092700
-7.500000	-0.365700	0.011650	-0.092500
-7.250000	-0.338300	0.011400	-0.092500
-7.000000	-0.310900	0.011190	-0.092500
-6.750000	-0.284300	0.010870	-0.092400
-6.500000	-0.257100	0.010630	-0.092400
-6.250000	-0.229200	0.010450	-0.092500
-6.000000	-0.201800	0.010200	-0.092600
-5.750000	-0.174600	0.009980	-0.092500
-5.500000	-0.146500	0.009810	-0.092700
-5.250000	-0.118600	0.009590	-0.092800
-5.000000	-0.090800	0.009410	-0.092800
-4.750000	-0.062700	0.009320	-0.092900
-4.500000	-0.034800	0.009070	-0.093100
-4.250000	-0.006500	0.008930	-0.093200
-4.000000	0.021500	0.008770	-0.093300
-3.750000	0.049500	0.008630	-0.093500
-3.500000	0.078000	0.008470	-0.093700
-3.250000	0.106200	0.008330	-0.093800
-3.000000	0.134300	0.008210	-0.094000
-2.750000	0.162600	0.008060	-0.094200
-2.500000	0.191000	0.007910	-0.094400
-2.250000	0.219100	0.007750	-0.094600
-2.000000	0.246900	0.007600	-0.094800
-1.750000	0.274900	0.007360	-0.095000
-1.500000	0.302600	0.007060	-0.095300
-1.250000	0.329600	0.006720	-0.095400
-1.000000	0.356700	0.006440	-0.095500
-0.750000	0.384600	0.006240	-0.095700
-0.500000	0.412600	0.006170	-0.095700
-0.250000	0.440500	0.006160	-0.095800
0.000000	0.469100	0.006130	-0.096000
0.250000	0.497500	0.006130	-0.096100
0.500000	0.525600	0.006170	-0.096100
0.750000	0.553900	0.006200	-0.096300
1.000000	0.582400	0.006220	-0.096400
1.500000	0.638000	0.006340	-0.096400
1.750000	0.666100	0.006350	-0.096500
2.000000	0.693300	0.006400	-0.096400
2.250000	0.720000	0.006490	-0.096100
2.500000	0.747600	0.006520	-0.096100
2.750000	0.774900	0.006580	-0.096100
3.000000	0.801200	0.006670	-0.095800
3.250000	0.828700	0.006710	-0.095800
3.500000	0.855100	0.006770	-0.095600
3.750000	0.880800	0.006880	-0.095300
4.000000	0.906900	0.006920	-0.095000
4.250000	0.931900	0.006990	-0.094400
4.500000	0.956100	0.007090	-0.093800
4.750000	0.979500	0.007130	-0.092900
5.000000	1.003400	0.007240	-0.092200
5.250000	1.035000	0.007300	-0.093200
5.500000	1.070000	0.007430	-0.095000
5.750000	1.099600	0.007570	-0.095800
6.000000	1.126200	0.007700	-0.095900
6.250000	1.151600	0.007880	-0.095700
6.500000	1.175200	0.008120	-0.095200
6.750000	1.198400	0.008370	-0.094700
7.000000	1.220900	0.008640	-0.094000
7.250000	1.242900	0.008920	-0.093200
7.500000	1.263800	0.009220	-0.092300
7.750000	1.283600	0.009530	-0.091100
8.000000	1.300400	0.009890	-0.089400
8.250000	1.313300	0.010310	-0.087000
8.500000	1.324300	0.010810	-0.084300
8.750000	1.332800	0.011450	-0.081500
9.000000	1.338400	0.012260	-0.078300
9.250000	1.344300	0.013120	-0.075300
9.500000	1.348100	0.014140	-0.072200
9.750000	1.350300	0.015320	-0.069100
10.000000	1.354000	0.016490	-0.066300
10.250000	1.355300	0.017860	-0.063500
10.500000	1.356100	0.019340	-0.060700
10.750000	1.356100	0.020940	-0.058100
11.000000	1.358800	0.022460	-0.055900
11.250000	1.361900	0.024020	-0.053900
11.500000	1.366000	0.025570	-0.052100
11.750000	1.371800	0.027050	-0.050600
12.000000	1.377200	0.028610	-0.049100
12.250000	1.382000	0.030280	-0.047700
12.500000	1.390400	0.031720	-0.046700
12.750000	1.395700	0.033470	-0.045500
13.000000	1.404200	0.034990	-0.044600
13.250000	1.409000	0.036880	-0.043600
13.500000	1.417500	0.038490	-0.042900
13.750000	1.424700	0.040250	-0.042200
14.000000	1.429300	0.042280	-0.041400
14.250000	1.434800	0.044300	-0.040800
14.500000	1.442700	0.046120	-0.040400
14.750000	1.448600	0.048190	-0.039900
15.000000	1.452900	0.050450	-0.039500
15.250000	1.452700	0.053250	-0.039100
15.500000	1.460000	0.055290	-0.039000
15.750000	1.466300	0.057480	-0.038800
16.000000	1.471000	0.059880	-0.038800
16.250000	1.474500	0.062470	-0.038800
16.500000	1.475700	0.065370	-0.038900
16.750000	1.470400	0.069180	-0.039100
17.000000	1.476400	0.071600	-0.039400
17.250000	1.481500	0.074160	-0.039700
17.500000	1.484000	0.077100	-0.040100
17.750000	1.485900	0.080170	-0.040600
18.000000	1.487000	0.083380	-0.041300
18.250000	1.486200	0.086930	-0.042000
18.500000	1.480600	0.091200	-0.043000
