name: NACA 4415
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 5.000000
CL_eps: 1.042900
CD_eps: 6.700000e-03
AoA_lift: 17.000000
CL_lift: 1.699700
CD_lift: 4.003000e-02
 alpha	CL	CD	Cm
-5.000000	-0.069400	0.006680	-0.103300
-4.500000	-0.017200	0.006600	-0.102300
-4.000000	0.033300	0.006500	-0.100900
-3.500000	0.084300	0.006410	-0.099700
-3.000000	0.136800	0.006360	-0.098700
-2.500000	0.187900	0.006310	-0.097500
-2.000000	0.238900	0.006260	-0.096300
-1.500000	0.291300	0.006210	-0.095400
-1.000000	0.342400	0.006230	-0.094200
-0.500000	0.395100	0.006190	-0.093400
0.000000	0.445700	0.006220	-0.092100
0.500000	0.498300	0.006180	-0.091300
1.000000	0.548500	0.006250	-0.090000
1.500000	0.600000	0.006140	-0.089000
2.000000	0.645400	0.006030	-0.086900
2.500000	0.692600	0.005940	-0.085000
3.000000	0.736600	0.005930	-0.082400
3.500000	0.777700	0.005750	-0.079100
4.000000	0.906400	0.006040	-0.095700
4.500000	0.972500	0.006380	-0.098100
5.000000	1.042900	0.006700	-0.101500
6.000000	1.155500	0.007520	-0.102400
6.500000	1.186400	0.008080	-0.097400
7.000000	1.215800	0.008600	-0.092100
7.500000	1.238400	0.009120	-0.085300
8.000000	1.266000	0.009690	-0.079900
8.500000	1.296800	0.010290	-0.075200
9.000000	1.332800	0.010800	-0.071700
9.500000	1.367200	0.011420	-0.068000
10.000000	1.403700	0.011990	-0.064900
10.500000	1.435700	0.012780	-0.061200
11.000000	1.471700	0.013450	-0.058300
11.500000	1.499000	0.014530	-0.054300
12.000000	1.524100	0.015810	-0.050200
12.500000	1.547200	0.017280	-0.046200
13.000000	1.567700	0.018950	-0.042200
13.500000	1.585400	0.020950	-0.038300
14.000000	1.610700	0.022630	-0.035600
14.500000	1.629100	0.024870	-0.032600
15.000000	1.643400	0.027510	-0.029600
15.500000	1.659900	0.030130	-0.027200
16.000000	1.678000	0.032850	-0.025300
16.500000	1.692200	0.036070	-0.023500
17.000000	1.699700	0.040030	-0.021800
17.500000	1.699300	0.044920	-0.020200
18.000000	1.696000	0.050210	-0.019000
18.500000	1.692200	0.055750	-0.018200
19.000000	1.686800	0.061800	-0.017900
19.500000	1.679800	0.068180	-0.018000
20.000000	1.668900	0.075150	-0.018500
20.500000	1.653000	0.082880	-0.019500
21.000000	1.647700	0.089280	-0.020800
21.500000	1.634200	0.096580	-0.022300
22.000000	1.629400	0.102930	-0.023800
22.500000	1.612500	0.111230	-0.026400
23.000000	1.593900	0.119880	-0.029500
23.500000	1.589400	0.126370	-0.032100
24.000000	1.571700	0.134970	-0.035900
24.500000	1.552800	0.143830	-0.040400
25.000000	1.551400	0.149840	-0.043600
25.500000	1.533500	0.158320	-0.048800
26.000000	1.517100	0.166050	-0.054400
26.500000	1.516000	0.171810	-0.058500
27.000000	1.494400	0.181580	-0.065100
27.500000	1.490500	0.188450	-0.070000
28.000000	1.466700	0.199670	-0.077300
28.500000	1.438000	0.212670	-0.085500
29.000000	1.423900	0.222940	-0.092100
29.500000	1.394300	0.237660	-0.100800
30.000000	1.359100	0.254970	-0.110300
30.500000	1.362300	0.261880	-0.114700
31.000000	1.331900	0.279200	-0.123400
31.500000	1.334400	0.286520	-0.127900
32.000000	1.336700	0.293820	-0.132300
32.500000	1.301400	0.314260	-0.141000
33.000000	1.302000	0.322250	-0.145400
33.500000	1.297400	0.331980	-0.150200
34.000000	1.201400	0.377990	-0.161900
34.500000	1.197000	0.386710	-0.165200
