name: NACA 23012
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 8.500000
CL_eps: 1.115600
CD_eps: 8.740000e-03
AoA_lift: 17.500000
CL_lift: 1.713300
CD_lift: 3.341000e-02
 alpha	CL	CD	Cm
-5.000000	-0.417400	0.007540	-0.011000
-4.500000	-0.363200	0.007210	-0.010400
-4.000000	-0.307300	0.007140	-0.010300
-3.500000	-0.251200	0.007190	-0.010200
-3.000000	-0.195000	0.007200	-0.010100
-2.500000	-0.139600	0.007020	-0.009800
-2.000000	-0.083500	0.007030	-0.009700
-1.500000	-0.027700	0.007000	-0.009600
-1.000000	0.028500	0.006950	-0.009600
-0.500000	0.079200	0.006240	-0.008900
0.000000	0.132000	0.005770	-0.008500
0.500000	0.186100	0.005600	-0.008200
1.000000	0.241500	0.005630	-0.008100
1.500000	0.297000	0.005560	-0.007900
2.000000	0.352500	0.005690	-0.007800
2.500000	0.408100	0.005700	-0.007600
3.000000	0.463400	0.005690	-0.007200
3.500000	0.519100	0.005780	-0.007000
4.000000	0.573900	0.006000	-0.006700
4.500000	0.628200	0.006240	-0.006300
5.000000	0.683100	0.006390	-0.005900
5.500000	0.742000	0.006560	-0.006600
6.000000	0.800700	0.006900	-0.007400
6.500000	0.865200	0.007270	-0.009500
7.000000	0.929500	0.007510	-0.011600
7.500000	0.992800	0.007920	-0.013600
8.000000	1.056200	0.008410	-0.015700
8.500000	1.115600	0.008740	-0.016800
9.000000	1.155900	0.009490	-0.014100
9.500000	1.200600	0.010000	-0.012200
10.000000	1.243100	0.010820	-0.010100
10.500000	1.290900	0.011350	-0.009000
11.000000	1.335200	0.012260	-0.007500
11.500000	1.381400	0.013010	-0.006400
12.000000	1.429100	0.013610	-0.005500
12.500000	1.475800	0.014250	-0.004600
13.000000	1.518500	0.015150	-0.003100
13.500000	1.555100	0.016420	-0.000900
14.000000	1.591800	0.017540	0.001300
15.000000	1.651800	0.019700	0.007700
15.500000	1.674000	0.021210	0.011300
16.000000	1.692300	0.023130	0.014500
16.500000	1.707000	0.025580	0.017100
17.000000	1.711900	0.028930	0.019300
17.500000	1.713300	0.033410	0.020100
18.000000	1.702300	0.040000	0.019100
18.500000	1.675700	0.049140	0.016100
19.000000	1.623100	0.061850	0.011200
19.500000	1.545600	0.079820	0.003200
21.000000	1.325800	0.133170	-0.025400
21.500000	1.255400	0.152050	-0.037300
22.000000	1.248100	0.160510	-0.042500
22.500000	1.168400	0.186760	-0.057100
31.000000	0.760700	0.331400	-0.100900
31.500000	0.762700	0.332710	-0.103200
32.000000	0.764500	0.334070	-0.105500
