name: NACA 2410
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 8.500000
CL_eps: 1.132500
CD_eps: 1.045000e-02
AoA_lift: 9.500000
CL_lift: 1.208400
CD_lift: 1.455000e-02
 alpha	CL	CD	Cm
-8.000000	-0.631600	0.008360	-0.047600
-7.500000	-0.571000	0.007910	-0.049200
-7.000000	-0.515100	0.007470	-0.049800
-6.500000	-0.461000	0.007180	-0.050000
-6.000000	-0.406800	0.007220	-0.050000
-5.500000	-0.354600	0.008920	-0.049800
1.000000	0.337300	0.008710	-0.050000
1.500000	0.391900	0.008790	-0.050300
7.000000	0.975900	0.009780	-0.052200
7.500000	1.030000	0.009730	-0.052900
8.000000	1.082000	0.010000	-0.053100
8.500000	1.132500	0.010450	-0.053000
9.000000	1.181300	0.011090	-0.052600
9.500000	1.208400	0.014550	-0.047400
