3.194055	0.378029	40.000000
2.978913	0.375108	40.000000
2.763612	0.373162	40.000000
2.548158	0.372147	40.000000
2.332538	0.371070	40.000000
2.116877	0.369253	40.000000
1.901306	0.365936	40.000000
1.685830	0.360730	40.000000
1.470483	0.353337	40.000000
1.255378	0.343166	40.000000
1.040557	0.329876	40.000000
0.826146	0.312747	40.000000
0.612184	0.291095	40.000000
0.398966	0.263528	40.000000
0.186246	0.231744	40.000000
-0.025944	0.195489	40.000000
-0.237505	0.154645	40.000000
-0.448350	0.108487	40.000000
-0.658256	0.055488	40.000000
-0.762626	0.025516	40.000000
-0.866529	-0.008027	40.000000
-0.969388	-0.047839	40.000000
-1.020027	-0.072790	40.000000
-1.039730	-0.085832	40.000000
-1.049292	-0.093700	40.000000
-1.064685	-0.126010	40.000000
-1.037994	-0.149020	40.000000
-1.026465	-0.152665	40.000000
-1.003953	-0.157515	40.000000
-0.948920	-0.163136	40.000000
-0.840152	-0.166673	40.000000
-0.732208	-0.165816	40.000000
-0.624578	-0.162664	40.000000
-0.410182	-0.151972	40.000000
-0.196394	-0.137250	40.000000
0.016922	-0.119258	40.000000
0.229829	-0.098550	40.000000
0.442399	-0.074990	40.000000
0.654641	-0.048661	40.000000
0.866312	-0.017865	40.000000
1.077694	0.016092	40.000000
1.288827	0.052524	40.000000
1.499838	0.090712	40.000000
1.710779	0.130231	40.000000
1.921761	0.170488	40.000000
2.132841	0.211017	40.000000
2.344051	0.251172	40.000000
2.555546	0.290022	40.000000
2.767538	0.326124	40.000000
2.980138	0.357461	40.000000
3.194055	0.378029	40.000000
