4.860878	0.918195	24.528924
4.534919	0.891153	24.589817
4.207818	0.865599	24.646721
3.879644	0.841468	24.699571
3.550538	0.817222	24.748297
3.220814	0.791831	24.792814
2.890816	0.764133	24.833050
2.560648	0.733528	24.868976
2.230455	0.699559	24.900567
1.900532	0.661326	24.927794
1.571038	0.618307	24.950653
1.242305	0.569406	24.969140
0.914523	0.513566	24.983275
0.588350	0.448671	24.993077
0.263289	0.377320	24.998614
-0.060531	0.299119	24.999927
-0.382889	0.213898	24.997068
-0.703523	0.120548	24.990102
-1.021876	0.016734	24.979118
-1.179730	-0.040473	24.972170
-1.336445	-0.103147	24.964287
-1.490843	-0.175389	24.955561
-1.566274	-0.219217	24.950952
-1.595272	-0.241416	24.949119
-1.609183	-0.254567	24.948228
-1.629523	-0.306065	24.946912
-1.585994	-0.338798	24.949709
-1.567846	-0.343218	24.950853
-1.532649	-0.348348	24.953034
-1.447240	-0.351264	24.958122
-1.279183	-0.345333	24.967281
-1.112797	-0.332705	24.975238
-0.947087	-0.316567	24.982063
-0.617344	-0.277604	24.992378
-0.288852	-0.232482	24.998331
0.038617	-0.182362	24.999970
0.365165	-0.128092	24.997333
0.690831	-0.069452	24.990456
1.015585	-0.006571	24.979375
1.338818	0.063146	24.964160
1.661053	0.137714	24.944838
1.982368	0.216077	24.921445
2.302985	0.297139	24.894000
2.622972	0.380248	24.862527
2.942512	0.464503	24.827032
3.261687	0.549185	24.787530
3.580561	0.633305	24.744030
3.899409	0.715440	24.696508
4.218649	0.793384	24.644904
4.538596	0.864034	24.589153
4.860878	0.918195	24.528924
